"","trainer","pre","post"
"1",1,55.3846,97.1795
"2",1,51.5385,96.0256
"3",1,46.1538,94.4872
"4",1,42.8205,91.4103
"5",1,40.7692,88.3333
"6",1,38.7179,84.8718
"7",1,35.641,79.8718
"8",1,33.0769,77.5641
"9",1,28.9744,74.4872
"10",1,26.1538,71.4103
"11",1,23.0769,66.4103
"12",1,22.3077,61.7949
"13",1,22.3077,57.1795
"14",1,23.3333,52.9487
"15",1,25.8974,51.0256
"16",1,29.4872,51.0256
"17",1,32.8205,51.0256
"18",1,35.3846,51.4103
"19",1,40.2564,51.4103
"20",1,44.1026,52.9487
"21",1,46.6667,54.1026
"22",1,50,55.2564
"23",1,53.0769,55.641
"24",1,56.6667,56.0256
"25",1,59.2308,57.9487
"26",1,61.2821,62.1795
"27",1,61.5385,66.4103
"28",1,61.7949,69.1026
"29",1,57.4359,55.2564
"30",1,54.8718,49.8718
"31",1,52.5641,46.0256
"32",1,48.2051,38.3333
"33",1,49.4872,42.1795
"34",1,51.0256,44.1026
"35",1,45.3846,36.4103
"36",1,42.8205,32.5641
"37",1,38.7179,31.4103
"38",1,35.1282,30.2564
"39",1,32.5641,32.1795
"40",1,30,36.7949
"41",1,33.5897,41.4103
"42",1,36.6667,45.641
"43",1,38.2051,49.1026
"44",1,29.7436,36.0256
"45",1,29.7436,32.1795
"46",1,30,29.1026
"47",1,32.0513,26.7949
"48",1,35.8974,25.2564
"49",1,41.0256,25.2564
"50",1,44.1026,25.641
"51",1,47.1795,28.718
"52",1,49.4872,31.4103
"53",1,51.5385,34.8718
"54",1,53.5897,37.5641
"55",1,55.1282,40.641
"56",1,56.6667,42.1795
"57",1,59.2308,44.4872
"58",1,62.3077,46.0256
"59",1,64.8718,46.7949
"60",1,67.9487,47.9487
"61",1,70.5128,53.718
"62",1,71.5385,60.641
"63",1,71.5385,64.4872
"64",1,69.4872,69.4872
"65",1,46.9231,79.8718
"66",1,48.2051,84.1026
"67",1,50,85.2564
"68",1,53.0769,85.2564
"69",1,55.3846,86.0256
"70",1,56.6667,86.0256
"71",1,56.1538,82.9487
"72",1,53.8462,80.641
"73",1,51.2821,78.718
"74",1,50,78.718
"75",1,47.9487,77.5641
"76",1,29.7436,59.8718
"77",1,29.7436,62.1795
"78",1,31.2821,62.5641
"79",1,57.9487,99.4872
"80",1,61.7949,99.1026
"81",1,64.8718,97.5641
"82",1,68.4615,94.1026
"83",1,70.7692,91.0256
"84",1,72.0513,86.4103
"85",1,73.8462,83.3333
"86",1,75.1282,79.1026
"87",1,76.6667,75.2564
"88",1,77.6923,71.4103
"89",1,79.7436,66.7949
"90",1,81.7949,60.2564
"91",1,83.3333,55.2564
"92",1,85.1282,51.4103
"93",1,86.4103,47.5641
"94",1,87.9487,46.0256
"95",1,89.4872,42.5641
"96",1,93.3333,39.8718
"97",1,95.3846,36.7949
"98",1,98.2051,33.718
"99",1,56.6667,40.641
"100",1,59.2308,38.3333
"101",1,60.7692,33.718
"102",1,63.0769,29.1026
"103",1,64.1026,25.2564
"104",1,64.359,24.1026
"105",1,74.359,22.9487
"106",1,71.2821,22.9487
"107",1,67.9487,22.1795
"108",1,65.8974,20.2564
"109",1,63.0769,19.1026
"110",1,61.2821,19.1026
"111",1,58.7179,18.3333
"112",1,55.1282,18.3333
"113",1,52.3077,18.3333
"114",1,49.7436,17.5641
"115",1,47.4359,16.0256
"116",1,44.8718,13.718
"117",1,48.7179,14.8718
"118",1,51.2821,14.8718
"119",1,54.1026,14.8718
"120",1,56.1538,14.1026
"121",1,52.0513,12.5641
"122",1,48.7179,11.0256
"123",1,47.1795,9.8718
"124",1,46.1538,6.0256
"125",1,50.5128,9.4872
"126",1,53.8462,10.2564
"127",1,57.4359,10.2564
"128",1,60,10.641
"129",1,64.1026,10.641
"130",1,66.9231,10.641
"131",1,71.2821,10.641
"132",1,74.359,10.641
"133",1,78.2051,10.641
"134",1,67.9487,8.718
"135",1,68.4615,5.2564
"136",1,68.2051,2.9487
"137",1,37.6923,25.7692
"138",1,39.4872,25.3846
"139",1,91.2821,41.5385
"140",1,50,95.7692
"141",1,47.9487,95
"142",1,44.1026,92.6923
"143",2,32.3311102266,61.411101248
"144",2,53.4214628807,26.1868803879
"145",2,63.92020226,30.8321939163
"146",2,70.2895057187,82.5336485877
"147",2,34.1188302357,45.7345513203
